Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",0,Worldbuilders Press,Kindle Edition,383,2016,2016,,2025/10/11,"to-read, library-unavailable","to-read (#229), library-unavailable (#86)",to-read,,,,0,0
226943312,Dating After the End of the World,Jeneva Rose,"Rose, Jeneva",,"=""1662520204""","=""9781662520204""",0,Montlake,Paperback,293,2025,2025,,2025/10/09,"to-read, library-unavailable","to-read (#227), library-unavailable (#85)",to-read,,,,0,0
56620811,The Age of AI and Our Human Future,Henry Kissinger,"Kissinger, Henry","Eric Schmidt, Daniel Huttenlocher","=""0316273805""","=""9780316273800""",0,"Little, Brown and Company",Hardcover,272,2021,,,2025/10/06,"to-read, library-unavailable","to-read (#225), library-unavailable (#84)",to-read,,,,0,0
231819058,The Intruder,Freida McFadden,"McFadden, Freida",,"=""1464260915""","=""9781464260919""",0,Poisoned Pen Press,Hardcover,279,2025,2025,,2025/10/02,"to-read, library-unavailable","to-read (#223), library-unavailable (#83)",to-read,,,,0,0
222594068,American Kings: A Biography of the Quarterback,Seth Wickersham,"Wickersham, Seth",,"=""1368114830""","=""9781368114837""",2.0,Disney Hyperion Digital,Kindle Edition,395,2025,,2026/01/20,2026/01/07,,,read,,,,1,0
55789065,On Tyranny: Twenty Lessons from the Twentieth Century - Graphic Edition,Timothy Snyder,"Snyder, Timothy",Nora Krug,"=""1984860399""","=""9781984860392""",0,Ten Speed Graphic,Hardcover,128,2021,2017,,2024/11/15,to-read,to-read (#152),to-read,,,,0,0
49665863,"You Have Arrived at Your Destination (Forward Collection, #4)",Amor Towles,"Towles, Amor",,"=""1542004349""","=""9781542004343""",4.0,Amazon Original Stories,Kindle Edition,54,2019,2019,2025/12/27,2025/12/27,,,read,,,,1,0
49669410,"Emergency Skin (Forward Collection, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""1542093570""","=""9781542093576""",2.0,Amazon Original Stories,Kindle Edition,38,2019,2019,2025/12/27,2025/12/27,,,read,,,,1,0
49676965,"Summer Frost (Forward Collection, #2)",Blake Crouch,"Crouch, Blake",,"=""1542043638""","=""9781542043632""",4.0,Amazon Original Stories,Kindle Edition,85,2019,2019,2025/12/27,2020/09/03,library-unavailable,library-unavailable (#3),read,,,,1,0
44430778,The Breakdown,B.A. Paris,"Paris, B.A.",,"=""""","=""""",5.0,St. Martin's Press,Kindle Edition,337,2019,2017,2025/12/26,2023/11/04,,,read,,,,1,0
